lat,lon,depth,time,Gephyrocapsa huxleyi HET,temperature,no3,o2,PAR
47,-16,10,10,0.0,16.282256439896383,0.11327665866211137,241.64428372106946,18.217579793891648
65,-41,0,3,0.0,,,,
59,-23,0,3,0.0,8.197693425831966,12.750046956097435,282.97255780445084,33.13665641559243
54,-38,5,4,0.0,5.7454545533449375,12.63886352227909,305.7075466055566,42.65274135584607
67,-15,5,10,0.0,4.043517855160343,5.9735482754052835,324.8552843155956,6.41234788964222
58,-23,10,2,0.0,8.626092127909873,12.322015987984733,273.4956794963913,7.819604880126948
65,-46,15,1,0.0,,,,
52,-37,15,6,0.0,9.49647413100428,5.660407295886339,295.9906380649739,17.55357144953973
46,-14,15,1,0.0,12.497585516669075,6.244190415286014,254.37238303864459,6.970535830941152
52,-49,5,4,0.0,2.8093374051918043,8.053416032750308,329.71915422366504,40.724535418258185
46,-29,0,9,0.0,18.40586122522613,0.7616119426294239,238.11355779815992,69.31419731237429
53,-2,0,11,0.0,,,,
58,-55,5,3,0.0,2.7776453007136492,15.230466566855998,306.43030290222885,21.1039009688787
61,-36,15,4,0.0,4.974979557760407,13.259695578776832,302.9038409910583,18.444155798561518
47,-34,0,11,0.0,14.237450435449661,3.7685998154544005,254.43761780754744,22.576354729318346
56,-17,20,10,0.0,12.198881481051076,4.167988739533319,262.59177133826614,4.945245999913103
70,-42,25,1,0.0,,,,
49,-7,0,11,0.0,13.104076784147487,4.33625258392838,252.7213303812144,20.672287585127403
57,-39,25,10,0.0,7.72184509014374,8.72361228289446,288.22526603127216,2.9484744199375568
67,-28,5,9,0.0,2.582104930143775,2.1478861493609718,342.8394088724759,17.75141328672617
48,-37,15,2,0.0,11.80083747387712,4.781480884637928,266.4267418410081,9.447225976348008
57,-29,5,12,0.0,8.20258340264997,9.354068756406676,281.2349514660368,3.403460909843557
69,-31,25,8,0.0,,,,
56,-11,10,5,0.0,10.67621275056463,3.694421785597067,284.1899895474667,31.06294336024023
54,-2,15,10,0.0,,,,
65,-12,0,6,0.0,5.788034543075682,3.524689055086468,345.6486328255235,89.46654319088347
59,-53,15,7,0.0,6.14776844088829,2.84090396756292,316.7870434063238,13.163055761086255
69,-50,20,12,0.0,,,,
61,-31,5,6,0.0,8.328465270242871,7.376768993014079,310.2244107979833,53.17887005318668
69,-25,20,12,0.0,0.7502000033855438,9.924886703491211,341.8433990486664,0.04130104649263771
56,-31,0,9,0.0,11.437341228915727,4.296420749134074,278.32831491624444,44.740213952862206
67,-11,15,3,0.0,0.8342099638861306,11.522239683479079,344.6260775253029,7.1287417359899
70,-6,5,7,0.0,6.4048702972642255,1.7243527693350937,328.91301184857025,41.197162090515086
61,-51,0,2,0.0,1.189234508819351,11.154967242951354,335.11208400985294,11.080200969988251
55,-27,15,8,0.0,13.001480753895386,2.2782969587424526,268.3962951979882,14.102964577605542
57,-55,0,2,0.0,1.811663036445974,12.575059384886053,314.5387641511535,13.39122745252058
52,-23,5,5,0.0,10.99054808043009,4.982895380237735,283.693596868688,55.67762391240927
64,-34,5,5,0.0,5.438536613051575,11.89143555802336,302.573322832072,47.889354045777246
47,-38,15,7,0.0,16.34230480645744,0.24334455422067622,253.28119763589896,26.67813263562492
66,-20,15,5,0.0,4.464895009645261,5.413275957107544,365.7319945991039,10.297797367974185
57,-3,0,5,0.0,,,,
50,-37,15,8,0.0,14.668247921911204,0.8447560270613071,264.6143478154272,21.248986929724076
54,-22,10,8,0.0,14.312095513095711,0.6746499075038437,261.74575420007125,26.55466317633071
60,-53,15,2,0.0,2.189094785133793,12.87463009091715,312.3547593254663,4.363939236308609
55,-42,20,10,0.0,8.35363888200419,6.564372209671757,285.8482270527474,4.821132779910549
68,-18,0,5,0.0,1.8501315747260079,4.2024623393914675,375.28911814637445,69.95325319048798
58,-36,5,8,0.0,10.002255070089367,4.895962083640557,291.0600185616466,37.59109458426917
70,-11,0,7,0.0,4.914225383402369,1.5735735289885846,344.36615162967536,67.04902499237238
65,-15,25,7,0.0,,,,
66,-30,25,2,0.0,4.099351783879682,14.042045229969167,299.3737425802447,1.0337482964743276
49,-22,15,5,0.0,12.354318368731287,4.606474005587695,276.4899387923138,21.290991292742774
63,-10,20,8,0.0,10.328648906199566,2.8412600238032177,287.14001992047196,6.158950032315915
64,-32,5,8,0.0,8.79320590199116,4.140328721804424,296.8528834018757,32.7331079400587
63,-8,5,5,0.0,7.498810425700354,10.175998610971252,306.26570241799624,50.33134230555432
70,-59,10,4,0.0,,,,
49,-30,0,12,0.0,12.206629689140096,4.21490752027794,260.64386537444096,13.027500663989251
45,-40,5,6,0.0,15.708784660332396,0.15963491607943944,255.42454631616548,61.34917741740794
70,-56,0,9,0.0,4.367357315829964,0.21448092494843882,329.67741253340745,31.29754503355417
68,-23,5,12,0.0,2.529007372493818,10.070309383399433,336.4328264436466,0.23101736328871453
