Latitude,Longitude,Depth,Month,Year,Gephyrocapsa huxleyi HET
-29,113,85,2,1996,1291
-28,-41,0,10,1997,42364
-28,-41,5,5,1996,3020
-28,-41,5,10,1995,21180
-28,-41,80,5,1996,6050
-28,-41,80,10,1995,27230
-28,111,0,2,1996,569
-28,111,15,2,1996,1054
-28,111,50,2,1996,4060
-28,111,140,2,1996,2280
-28,111,200,2,1996,721
-27,-40,5,5,1997,3782.5
-27,-40,5,10,1996,9078
-27,-40,80,5,1997,750
-27,-40,95,10,1996,16643
-27,13,5,5,1998,1095412
-27,111,0,2,1996,183
-27,111,25,2,1996,1953
-27,111,50,2,1996,4748
-27,111,100,2,1996,6868
-27,111,155,2,1996,863
-26,-5,5,8,1994,56929
-26,-5,20,8,1994,16364
-26,-5,100,8,1994,21665
-26,-4,5,3,1996,6082
-26,-4,20,3,1996,5348
-26,-4,50,3,1996,6996
-26,110,0,2,1996,1413
-26,110,15,2,1996,1340
-26,110,45,2,1996,1556
-26,110,100,2,1996,7162
-26,110,150,2,1996,1219
-25,-38,5,5,1996,3030
-25,-38,100,5,1996,1510
-25,-26,120,5,2004,99.5
-25,14,5,5,1998,1510
-25,14,15,5,1998,7560
-25,108,0,2,1996,917
-25,108,50,2,1996,1741
-25,108,65,2,1996,6308
-25,108,90,2,1996,3780
-25,108,100,2,1996,7765
-25,108,150,2,1996,925
-24,-38,0,10,1997,7565
-24,-38,5,10,1995,4540
-24,-38,110,10,1997,3026
-24,-38,120,10,1995,12100
-24,-17,20,4,1998,233
-24,-17,20,11,2005,9480
-24,-17,50,4,1998,673
-24,-17,100,4,1998,566
-24,-1,5,3,1996,1060
-24,-1,20,3,1996,6933
-24,-1,50,3,1996,10946
-24,-1,100,3,1996,8880
-24,-1,200,3,1996,5185
-24,108,0,2,1996,1214.5
-24,108,10,2,1996,701
-24,108,25,2,1996,1931
-24,108,35,2,1996,3562
-24,108,50,2,1996,1306
-24,108,60,2,1996,5720
-24,108,90,2,1996,3301
-24,108,100,2,1996,8771
-24,108,120,2,1996,397
-24,108,155,2,1996,318
-23,-37,5,5,1997,1510
-23,-37,5,10,1996,4539
-23,-37,60,10,1996,7565
-23,-37,100,10,1996,7565
-23,-37,110,5,1997,3782.5
-22,-26,20,5,2003,998
-22,-26,35,5,2003,1682
-22,-26,60,5,2003,1434
-22,-26,140,5,2003,149
-22,-26,200,5,2003,162
-22,-23,15,11,2005,4620
-22,-23,30,11,2005,4740
-22,-23,60,11,2005,6430
-22,-23,140,11,2005,10780
-22,-23,155,11,2005,1650
-22,-23,210,11,2005,250
-22,0,5,8,1994,181858
-22,0,30,8,1994,75294
-22,0,70,8,1994,65326
-22,0,100,8,1994,2960
-22,4,5,8,1994,8073
-22,4,20,8,1994,1091
-22,12,5,5,1998,39338
-22,108,0,2,1996,1002
-22,108,25,2,1996,1529
-22,108,50,2,1996,2515
-22,108,100,2,1996,4632
-22,108,140,2,1996,95
-21,-35,0,10,1997,5295.5
-21,-35,135,10,1997,3782.5
-21,-24,25,10,2004,2050
-21,-24,170,10,2004,2010
-21,-24,250,10,2004,60
-21,109,25,2,1996,1148
-21,109,45,2,1996,1218
-21,109,100,2,1996,2200
-21,109,145,2,1996,334
-21,110,0,2,1996,392
-21,110,20,2,1996,338
-21,110,60,2,1996,3855
-21,110,100,2,1996,5764
-21,110,140,2,1996,442
